FIRST_NAME	LAST_NAME	PHONE_NUMBER	HIRE_DATE	SALARY	JOB_TITLE	DEPARTMENT_NAME	STREET_ADDRESS	POSTAL_CODE	CITY	STATE_PROVINCE	COUNTRY_NAME	REGION_NAME
Hermann	Baer	 482.949.9250	18-JUL-10 00:00:00	7800	President	BI Solutins	Kuprevicha 1/1	220147	Minsk		Belarus	Europe
Hermann	Baer	 654.962.6836	25-JUL-10 00:00:00	3500	DWH Developer	Sales	Magdalen Centre, The Oxford Science Park	OX9 9ZB	Oxford	Oxford	United Kingdom	Europe
Hermann	Hartstein	 228.764.3725	12-MAR-11 00:00:00	3200	Marketing Manager	Operations	2004 Charade Rd	98199	Seattle	Washington	United States of America	Americas
Hermann	Hartstein	 950.061.0069	20-JAN-11 00:00:00	7200	BI Developer	IT Helpdesk	2004 Charade Rd	98199	Seattle	Washington	United States of America	Americas
Hermann	Hartstein	 962.907.1199	18-AUG-11 00:00:00	2200	BI Developer	Construction	2004 Charade Rd	98199	Seattle	Washington	United States of America	Americas
Hermann	Higgins	 366.729.9394	13-JUN-10 00:00:00	9500	Programmer	Human Resources	8204 Arthur St		London		United Kingdom	Europe
Hermann	Higgins	 374.924.5998	09-APR-10 00:00:00	7800	Administration Vice President	Payroll	2004 Charade Rd	98199	Seattle	Washington	United States of America	Americas
Hermann	Mavris	 210.766.8944	04-NOV-10 00:00:00	4100	DWH Developer	Purchasing	2004 Charade Rd	98199	Seattle	Washington	United States of America	Americas
Hermann	Mavris	 333.693.4065	30-JUL-11 00:00:00	1700	Human Resources Representative	Executive	2004 Charade Rd	98199	Seattle	Washington	United States of America	Americas
Hermann	Mavris	 535.578.3194	09-JAN-10 00:00:00	7100	BI Developer	Administration	2004 Charade Rd	98199	Seattle	Washington	United States of America	Americas
Hermann	Mavris	 680.663.1690	16-FEB-10 00:00:00	6600	Sales Representative	Manufacturing	2004 Charade Rd	98199	Seattle	Washington	United States of America	Americas
Hermann	Whalen	 333.118.7925	07-SEP-09 00:00:00	6500	Marketing Representative	Administration	2004 Charade Rd	98199	Seattle	Washington	United States of America	Americas
Hermann	Whalen	 333.817.3018	10-DEC-10 00:00:00	2000	Purchasing Manager	IT	2014 Jabberwocky Rd	26192	Southlake	Texas	United States of America	Americas
Hermann	Whalen	 480.457.0858	13-JUL-11 00:00:00	2500	Marketing Representative	Contracting	2004 Charade Rd	98199	Seattle	Washington	United States of America	Americas
Jennifer	Baer	 394.221.4355	09-MAY-10 00:00:00	1000	Programmer	IT Helpdesk	2004 Charade Rd	98199	Seattle	Washington	United States of America	Americas
Jennifer	Baer	 433.563.0003	28-AUG-11 00:00:00	6900	Human Resources Representative	IT Helpdesk	2004 Charade Rd	98199	Seattle	Washington	United States of America	Americas
Jennifer	Baer	 604.773.1552	11-JAN-10 00:00:00	5300	Purchasing Manager	Operations	2004 Charade Rd	98199	Seattle	Washington	United States of America	Americas
